reconciliation_billing_month	invoice_batch_label	source_file	observed_start_month	formal_match_status	numeric_match_status	record_side	charge_type	row_count	distinct_imsi_count	excel_total_final_charge	platform_calculated_amount_known_total	platform_total	platform_total_status	candidate_amount_diff_total	amount_diff_total	amount_abs_diff_total	excel_days_total	platform_days_total	day_diff_total	day_abs_diff_total	platform_days_population	platform_price_population	platform_amount_population	proven_mapping_row_count	proven_mapping_distinct_imsi_count	numeric_match_row_count	numeric_match_distinct_imsi_count	day_exact_row_count	price_exact_row_count	amount_exact_row_count
2026-04	2026-04	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	MISSING_MAPPING	NUMERIC_NOT_COMPARABLE	EXCEL_DETAIL	New Activation: Prorated-in Charge	27	27	374.0666666659			UNRESOLVED				181.0000000000	181.0000000000	0E-9	0E-9	27	0	0	0	0	0	0	27	0	0
2026-04	2026-04	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	MISSING_MAPPING	NUMERIC_MATCH	EXCEL_DETAIL	New Activation: Prorated-in Charge	342	342	7219.6666666675			UNRESOLVED	0.000000	0.000000	0.000000	3595.0000000000	3595.0000000000	0E-9	0E-9	342	342	342	0	0	342	342	342	342	342
2026-04	2026-04	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	MISSING_MAPPING	NUMERIC_DIFF	EXCEL_DETAIL	New Activation: Prorated-in Charge	5	5	149.1333333333			UNRESOLVED	-36.066666	-36.066666	36.066666	74.0000000000	56.0000000000	-18.000000000	18.000000000	5	5	5	0	0	0	0	0	5	0
2026-04	2026-04	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	UNRESOLVED	NUMERIC_DIFF	EXCEL_DETAIL	New Activation: Prorated-in Charge	1	1	36.0645161290	37.266667		UNRESOLVED	1.202151	1.202151	1.202151	26.0000000000	26.0000000000	0E-9	0E-9	1	1	1	1	1	0	0	1	1	0
2026-04	2026-04	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	MISSING_MAPPING	NUMERIC_DIFF	EXCEL_DETAIL	Partial Charge - Card Replaced Mid Cycle	9	9	196.2333333335			UNRESOLVED	-60.233336	-60.233336	60.233336	102.0000000000	94.0000000000	-8.000000000	8.000000000	9	9	9	3	3	0	0	6	3	0
2026-04	2026-04	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	MISSING_MAPPING	NUMERIC_MATCH	EXCEL_DETAIL	Partial Charge - Card Replaced Mid Cycle	40	40	285.5333333327			UNRESOLVED	0.000000	0.000000	0.000000	178.0000000000	178.0000000000	0E-9	0E-9	40	40	40	40	40	40	40	40	40	40
2026-04				PLATFORM_ONLY		PLATFORM_FACT		15218	8780				UNRESOLVED								0	15125	0	0	0	0	0	0	0	0
2026-05	2026-05	01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	2026-04	MISSING_MAPPING	NUMERIC_DIFF	EXCEL_DETAIL	Credit for Offstocked Card	1	1	-20.0666666667			UNRESOLVED	-2.866666	-2.866666	2.866666	16.0000000000	16.0000000000	0E-9	0E-9	1	1	1	0	0	0	0	1	1	0
2026-05	2026-05	01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	2026-04	UNRESOLVED	NUMERIC_DIFF	EXCEL_DETAIL	Credit for Offstocked Card	1	1	-31.5333333333	-11.466667		UNRESOLVED	20.066666	20.066666	20.066666	8.0000000000	8.0000000000	0E-9	0E-9	1	1	1	1	1	0	0	1	1	0
2026-05	2026-05	01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	2026-05	MATCHED	NUMERIC_MATCH	EXCEL_DETAIL	Full Cycle Charge	6305	6305	318164.0000000000	318164.000000	318164.000000	COMPLETE	0.000000	0.000000	0.000000	195455.0000000000	195455.0000000000	0E-9	0E-9	6305	6305	6305	6305	6305	6305	6305	6305	6305	6305
