local_excel_file	local_relative_path	local_file_name	platform_source_table	platform_source_file	invoice_batch_label	observed_start_month	local_observed_start_month_range	observed_cycle_start_month	observed_cycle_end_month	local_sheet_name	local_sheet_rows	platform_record_count	row_count_diff	platform_imsi_count	local_key_columns	local_amount_fields	amount_semantics	local_primary_amount	platform_primary_amount	primary_amount_diff_local_minus_platform	local_aux_amount	platform_aux_amount	aux_amount_diff_local_minus_platform	amount_status	local_min_observed_start_or_cycle_start	local_max_observed_start_or_cycle_start	platform_min_start_or_cycle_start	platform_max_start_or_cycle_start	date_status	local_schema_status	identity_status
C:\Users\EDY\Desktop\WA账单20260914\2026年2月\WingAlpha-2026年2月付；USD703,612.29\01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	2026年2月\WingAlpha-2026年2月付；USD703,612.29\01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	simo_prod.mysql_cdc_sync.wa_invoice_prorated	01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	2025-01	2025-12	2025-12			Prorated-In DEC - Pending Charg	1	1	0	1	"[""IMSI"", ""Product Name"", ""# of Active Days"", ""Usage Days"", ""Final Charge For Usage Days""]"	"[""Monthly Rate"", ""Final Charge For Usage Days"", ""Pending Charge""]"	prorated.final_charge_for_usage_days	34.0000000000	34.00000000	0.0000000000	6.0000000000	6.0	0.0000000000	MATCH_WITH_FLOATING_TOLERANCE	2025-12-31	2025-12-31	2025-12-31	2025-12-31	MATCH_DATE_RANGE	OK	MATCHED_NORMALIZED_FILENAME
C:\Users\EDY\Desktop\WA账单20260914\2026年8月\WingAlpha-2026年8月付；USD373,928.34\01-SIMO Data Purchase Invoice Details - JULY 2026.xlsx	2026年8月\WingAlpha-2026年8月付；USD373,928.34\01-SIMO Data Purchase Invoice Details - JULY 2026.xlsx	01-SIMO Data Purchase Invoice Details - JULY 2026.xlsx	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - JULY 2026.xlsx	2026-07	2026-07	2026-07			Detail Charges	7537	7537	0	7472	"[""IMSI"", ""Product Name"", ""Charge Type"", ""# of Active Days"", ""Usage Days""]"	"[""Monthly Rate"", ""Final Charge""]"	detail.final_charge	373918.3139784969	373918.31397838	0.0000001169	375953.0000000000	375953.0	0.0000000000	MATCH_WITH_FLOATING_TOLERANCE	2026-07-01	2026-07-31	2026-07-01	2026-07-31	MATCH_DATE_RANGE	OK	MATCHED_NORMALIZED_FILENAME
C:\Users\EDY\Desktop\WA账单20260914\2026年8月\WingAlpha-2026年8月付；USD373,928.34\01-SIMO Data Purchase Invoice Details - JULY 2026.xlsx	2026年8月\WingAlpha-2026年8月付；USD373,928.34\01-SIMO Data Purchase Invoice Details - JULY 2026.xlsx	01-SIMO Data Purchase Invoice Details - JULY 2026.xlsx	simo_prod.mysql_cdc_sync.wa_invoice_prorated	01-SIMO Data Purchase Invoice Details - JULY 2026.xlsx	2026-07	2026-06	2026-06			Prorated-In JUN - Pending Charg	4	4	0	4	"[""IMSI"", ""Product Name"", ""# of Active Days"", ""Usage Days"", ""Final Charge For Usage Days""]"	"[""Monthly Rate"", ""Final Charge For Usage Days"", ""Pending Charge""]"	prorated.final_charge_for_usage_days	141.9000000000	141.90000000	0.0000000000	10.0200000000	10.02	-0.0000000000	MATCH_WITH_FLOATING_TOLERANCE	2026-06-25	2026-06-30	2026-06-25	2026-06-30	MATCH_DATE_RANGE	OK	MATCHED_NORMALIZED_FILENAME
C:\Users\EDY\Desktop\WA账单20260914\2026年7月\WingAlpha-2026年7月付；USD382,329.72\01-SIMO Data Purchase Invoice Details - JUNE 2026.xlsx	2026年7月\WingAlpha-2026年7月付；USD382,329.72\01-SIMO Data Purchase Invoice Details - JUNE 2026.xlsx	01-SIMO Data Purchase Invoice Details - JUNE 2026.xlsx	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - JUNE 2026.xlsx	2026-06	2026-06	2026-06			Detail Charges	7598	7598	0	7469	"[""IMSI"", ""Product Name"", ""Charge Type"", ""# of Active Days"", ""Usage Days""]"	"[""Monthly Rate"", ""Final Charge""]"	detail.final_charge	382329.7204301078	382329.72043015	-0.0000000422	388076.0000000000	388076.0	0.0000000000	MATCH_WITH_FLOATING_TOLERANCE	2026-06-01	2026-06-30	2026-06-01	2026-06-30	MATCH_DATE_RANGE	OK	MATCHED_NORMALIZED_FILENAME
C:\Users\EDY\Desktop\WA账单20260914\2026年4月\WingAlpha-2026年4月付；USD579,471.47\01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026年4月\WingAlpha-2026年4月付；USD579,471.47\01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026-03	2026-02,2026-03	2026-02,2026-03			Detail Charges	13082	13082	0	12763	"[""IMSI"", ""Product Name"", ""Charge Type"", ""# of Active Days"", ""Usage Days""]"	"[""Monthly Rate"", ""Final Charge""]"	detail.final_charge	578406.3064516163	578406.30645160	0.0000000163	724024.0000000000	724024.0	0.0000000000	MATCH_WITH_FLOATING_TOLERANCE	2026-02-24	2026-03-28	2026-02-24	2026-03-28	MATCH_DATE_RANGE	OK	MATCHED_NORMALIZED_FILENAME
C:\Users\EDY\Desktop\WA账单20260914\2026年4月\WingAlpha-2026年4月付；USD579,471.47\01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026年4月\WingAlpha-2026年4月付；USD579,471.47\01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	simo_prod.mysql_cdc_sync.wa_invoice_prorated	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026-03	2026-02	2026-02			Prorated-In FEB - Pending Charg	127	127	0	127	"[""IMSI"", ""Product Name"", ""# of Active Days"", ""Usage Days"", ""Final Charge For Usage Days""]"	"[""Monthly Rate"", ""Final Charge For Usage Days"", ""Pending Charge""]"	prorated.final_charge_for_usage_days	3686.9285714286	3686.92857134	0.0000000886	1065.1685714286	1065.16857134	0.0000000886	MATCH_WITH_FLOATING_TOLERANCE	2026-02-10	2026-02-26	2026-02-10	2026-02-26	MATCH_DATE_RANGE	OK	MATCHED_NORMALIZED_FILENAME
C:\Users\EDY\Desktop\WA账单20260914\2026年6月\WingAlpha-2026年6月付；USD389,842.49\01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	2026年6月\WingAlpha-2026年6月付；USD389,842.49\01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	2026-05	2026-04,2026-05	2026-04,2026-05			Detail Charges	7887	7887	0	7494	"[""IMSI"", ""Product Name"", ""Charge Type"", ""# of Active Days"", ""Usage Days""]"	"[""Monthly Rate"", ""Final Charge""]"	detail.final_charge	389800.9526881746	389800.95268807	0.0000001046	407115.0000000000	407115.0	0.0000000000	MATCH_WITH_FLOATING_TOLERANCE	2026-04-24	2026-05-31	2026-04-24	2026-05-31	MATCH_DATE_RANGE	OK	MATCHED_NORMALIZED_FILENAME
C:\Users\EDY\Desktop\WA账单20260914\2026年6月\WingAlpha-2026年6月付；USD389,842.49\01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	2026年6月\WingAlpha-2026年6月付；USD389,842.49\01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	simo_prod.mysql_cdc_sync.wa_invoice_prorated	01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	2026-05	2026-04	2026-04			Prorated-In APR - Pending Charg	9	9	0	9	"[""IMSI"", ""Product Name"", ""# of Active Days"", ""Usage Days"", ""Final Charge For Usage Days""]"	"[""Monthly Rate"", ""Final Charge For Usage Days"", ""Pending Charge""]"	prorated.final_charge_for_usage_days	298.7666666667	298.76666665	0.0000000167	41.5266666667	41.52666665	0.0000000167	MATCH_WITH_FLOATING_TOLERANCE	2026-04-19	2026-04-20	2026-04-19	2026-04-20	MATCH_DATE_RANGE	OK	MATCHED_NORMALIZED_FILENAME
C:\Users\EDY\Desktop\WA账单20260914\2026年9月\WingAlpha-2026年9月付；USD\SIMO Data Purchase Invoice Details - AUGUST 2026.xlsx	2026年9月\WingAlpha-2026年9月付；USD\SIMO Data Purchase Invoice Details - AUGUST 2026.xlsx	SIMO Data Purchase Invoice Details - AUGUST 2026.xlsx	simo_prod.mysql_cdc_sync.wa_invoice_detail	SIMO Data Purchase Invoice Details - AUGUST 2026.xlsx	2026-08	2026-08	2026-08			Detail Charges	7536	7536	0	7508	"[""IMSI"", ""Product Name"", ""Charge Type"", ""# of Active Days"", ""Usage Days""]"	"[""Monthly Rate"", ""Final Charge""]"	detail.final_charge	364846.6129032255	364846.61290313	0.0000000955	375967.0000000000	375967.0	0.0000000000	MATCH_WITH_FLOATING_TOLERANCE	2026-08-01	2026-08-31	2026-08-01	2026-08-31	MATCH_DATE_RANGE	OK	MATCHED_NORMALIZED_FILENAME
C:\Users\EDY\Desktop\WA账单20260914\2026年9月\WingAlpha-2026年9月付；USD\SIMO Data Purchase Invoice Details - AUGUST 2026.xlsx	2026年9月\WingAlpha-2026年9月付；USD\SIMO Data Purchase Invoice Details - AUGUST 2026.xlsx	SIMO Data Purchase Invoice Details - AUGUST 2026.xlsx	simo_prod.mysql_cdc_sync.wa_invoice_prorated	SIMO Data Purchase Invoice Details - AUGUST 2026.xlsx	2026-08	2026-07	2026-07			Prorated-In JUL - Pending Charg	3	3	0	3	"[""IMSI"", ""Product Name"", ""# of Active Days"", ""Usage Days"", ""Final Charge For Usage Days""]"	"[""Monthly Rate"", ""Final Charge For Usage Days"", ""Pending Charge""]"	prorated.final_charge_for_usage_days	127.6129032258	127.61290323	-0.0000000042	4.1629032260	4.16290323	-0.0000000040	MATCH_WITH_FLOATING_TOLERANCE	2026-07-06	2026-07-06	2026-07-06	2026-07-06	MATCH_DATE_RANGE	OK	MATCHED_NORMALIZED_FILENAME
C:\Users\EDY\Desktop\WA账单20260914\2026年1月\WingAlpha-2026年1月付；USD704,839.35\SIMO Data Purchase Invoice Details - DEC 2025.xlsx	2026年1月\WingAlpha-2026年1月付；USD704,839.35\SIMO Data Purchase Invoice Details - DEC 2025.xlsx	SIMO Data Purchase Invoice Details - DEC 2025.xlsx	simo_prod.mysql_cdc_sync.wa_invoice_detail	SIMO Data Purchase Invoice Details - DEC 2025.xlsx	2025-12	2025-12	2025-12			Detail Charges	12185	12185	0	12110	"[""IMSI"", ""Product Name"", ""Charge Type"", ""# of Active Days"", ""Usage Days""]"	"[""Monthly Rate"", ""Final Charge""]"	detail.final_charge	704839.3537634341	704839.35376158	0.0000018541	723265.0000000000	723265.0	0.0000000000	MATCH_WITH_FLOATING_TOLERANCE	2025-12-01	2025-12-31	2025-12-01	2025-12-31	MATCH_DATE_RANGE	OK	MATCHED_NORMALIZED_FILENAME
C:\Users\EDY\Desktop\WA账单20260914\2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	simo_prod.mysql_cdc_sync.wa_invoice_credit	01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx			2025-11	2025-11,2025-12	Sheet1	393	393	0	393	"[""imsi"", ""did we charge for this imsi?"", ""ICCID"", ""prod"", ""if replaced whats new imsi"", ""Did we charge for this imsi?""]"	"[""price"", ""final price"", ""Correct Price"", ""Credit Owed""]"	credit.credit_owed	585.4500000000	585.45000000	-0.0000000000	23780.5500000000			CONFLICT_PLATFORM_CORRECT_PRICE_MISSING	2025-11-01	2025-11-27	2025-11-01	2025-11-27	MATCH_CYCLE_START_RANGE	OK	MATCHED_NORMALIZED_FILENAME
