table_catalog	table_schema	table_name	ordinal_position	column_name	data_type
simo_prod	ods	resource_res_vsim_product	6	supplier_id	LONG
simo_prod	ods	resource_res_vsim_product	7	status	INT
simo_prod	ods	resource_res_vsim_product	8	replenishment	INT
simo_prod	ods	resource_res_vsim_product	9	time_zone	STRING
simo_prod	ods	resource_res_vsim_product	10	group_id	LONG
simo_prod	ods	resource_res_vsim_product	11	owner	STRING
simo_prod	ods	resource_res_vsim_product	12	apn_id	LONG
simo_prod	ods	resource_res_vsim_product	13	in_flux_package_amount	DOUBLE
simo_prod	ods	resource_res_vsim_product	14	in_flux_package_unit	STRING
simo_prod	ods	resource_res_vsim_product	15	in_flux_package_aviable_amount_kb	LONG
simo_prod	ods	resource_res_vsim_product	16	package_type	LONG
simo_prod	ods	resource_res_vsim_product	17	active_type	LONG
simo_prod	ods	resource_res_vsim_product	18	agreement_time_periods	LONG
simo_prod	ods	resource_res_vsim_product	19	agreement_time_contains_pause	LONG
simo_prod	ods	resource_res_vsim_product	20	max_pause_days	LONG
simo_prod	ods	resource_res_vsim_product	21	baika_valid_time_month	LONG
simo_prod	ods	resource_res_vsim_product	22	billing_cycle	STRING
simo_prod	ods	resource_res_vsim_product	23	loop_using_after_cycle	LONG
simo_prod	ods	resource_res_vsim_product	24	cover_type	LONG
simo_prod	ods	resource_res_vsim_product	25	local_currency	STRING
simo_prod	ods	resource_res_vsim_product	26	monthly_rent	DOUBLE
simo_prod	ods	resource_res_vsim_product	27	monthly_rent_withusd	DOUBLE
simo_prod	ods	resource_res_vsim_product	28	over_flux_package_amount	LONG
simo_prod	ods	resource_res_vsim_product	29	over_flux_package_unit	STRING
simo_prod	ods	resource_res_vsim_product	30	over_flux_package_price_all_countries	STRING
simo_prod	ods	resource_res_vsim_product	31	package_price	DOUBLE
simo_prod	ods	resource_res_vsim_product	32	package_price_withusd	DOUBLE
simo_prod	ods	resource_res_vsim_product	33	pause_monthly_rent	DOUBLE
simo_prod	ods	resource_res_vsim_product	34	pause_monthly_rent_withusd	DOUBLE
simo_prod	ods	resource_res_vsim_product	35	payment_day	LONG
simo_prod	ods	resource_res_vsim_product	36	payment_type	LONG
simo_prod	ods	resource_res_vsim_product	37	pooling	LONG
simo_prod	ods	resource_res_vsim_product	38	pooling_cons_flux	LONG
simo_prod	ods	resource_res_vsim_product	39	price_include_tax	DOUBLE
simo_prod	ods	resource_res_vsim_product	40	price_include_tax_withusd	DOUBLE
simo_prod	ods	resource_res_vsim_product	41	product_name_in_supplier	STRING
simo_prod	ods	resource_res_vsim_product	42	purchase_fee_disposable	DOUBLE
simo_prod	ods	resource_res_vsim_product	43	tax_rate	DOUBLE
simo_prod	ods	resource_res_vsim_product	44	mccs	STRING
simo_prod	ods	resource_res_vsim_product	45	is_local	LONG
simo_prod	ods	resource_res_vsim_product	46	network_type	LONG
simo_prod	ods	resource_res_vsim_product	47	network_standard	LONG
simo_prod	ods	resource_res_vsim_product	48	roam_type	LONG
simo_prod	ods	resource_res_vsim_product	49	sim_type	LONG
simo_prod	ods	resource_res_vsim_product	50	email_notify_id	LONG
simo_prod	ods	resource_res_vsim_product	51	create_by	STRING
simo_prod	ods	resource_res_vsim_product	52	create_time	STRING
simo_prod	ods	resource_res_vsim_product	53	modify_by	STRING
simo_prod	ods	resource_res_vsim_product	54	modify_time	STRING
simo_prod	ods	resource_res_vsim_product	55	countrys	STRING
simo_prod	ods	resource_res_vsim_product	56	balance_currency	STRING
simo_prod	ods	resource_res_vsim_product	57	balance_rate	DOUBLE
simo_prod	ods	resource_res_vsim_product	58	settle_accounts_currency	STRING
simo_prod	ods	resource_res_vsim_product	59	settle_accounts_rate	DOUBLE
simo_prod	ods	resource_res_vsim_product	60	agreement_time_periods_unit	STRING
simo_prod	ods	resource_res_vsim_product	61	over_flow_fee	DOUBLE
simo_prod	ods	resource_res_vsim_product	62	over_flow_fee_unit	STRING
simo_prod	ods	resource_res_vsim_product	63	plmn_sel	STRING
simo_prod	ods	resource_res_vsim_product	64	cover_group_id	LONG
simo_prod	ods	resource_res_vsim_product	65	billing_type	INT
simo_prod	ods	resource_res_vsim_product	66	over_type	INT
simo_prod	ods	resource_res_vsim_product	67	product_category	STRING
simo_prod	ods	resource_res_vsim_product	68	plmns_from_imsi	STRING
simo_prod	ods	resource_res_vsim_product	69	into_db_time	STRING
simo_prod	ods	resource_res_vsim_status_log	0	ID	LONG
simo_prod	ods	resource_res_vsim_status_log	1	PRE_STATUS	STRING
simo_prod	ods	resource_res_vsim_status_log	2	NEXT_STATUS	STRING
simo_prod	ods	resource_res_vsim_status_log	3	DESC_LOG	STRING
simo_prod	ods	resource_res_vsim_status_log	4	CREATE_DATE	TIMESTAMP
simo_prod	ods	resource_res_vsim_status_log	5	OPERATE_USER	STRING
simo_prod	ods	resource_res_vsim_status_log	6	DESCRIPTION	STRING
simo_prod	ods	resource_res_vsim_status_log	7	IMSI	STRING
simo_prod	ods	resource_res_vsim_status_log	8	sync_time	TIMESTAMP
simo_prod	ods	resource_res_vsim_status_log	9	EXT1	STRING
simo_prod	ods	resource_res_vsim_status_log	10	partition_date	STRING
simo_prod	tc_cdr	sim_status_for_sftp_bak	0	imsi	STRING
simo_prod	tc_cdr	sim_status_for_sftp_bak	1	product_id	STRING
simo_prod	tc_cdr	sim_status_for_sftp_bak	2	ICCID	STRING
simo_prod	tc_cdr	sim_status_for_sftp_bak	3	SIM_Product_Threshold	STRING
simo_prod	tc_cdr	sim_status_for_sftp_bak	4	SIM_Product_Data_Capacity	STRING
simo_prod	tc_cdr	sim_status_for_sftp_bak	5	Cycle_Start_Time	STRING
simo_prod	tc_cdr	sim_status_for_sftp_bak	6	Cycle_End_Time	STRING
simo_prod	tc_cdr	sim_status_for_sftp_bak	7	DispatchStatus	STRING
simo_prod	tc_cdr	sim_status_for_sftp_bak	8	SimStatus	STRING
simo_prod	tc_cdr	sim_status_for_sftp_bak	9	year	INT
simo_prod	tc_cdr	sim_status_for_sftp_bak	10	month	INT
simo_prod	tc_cdr	sim_status_for_sftp_bak	11	day	INT
simo_prod	tc_cdr	sim_status_for_sftp_bak	12	hour	INT
simo_prod	tc_cdr	sim_status_for_sftp_bak	13	partition_time	STRING
