record_type	local_excel_file	local_relative_path	extension	sheet_name	sheet_role	sheet_names	row_count	distinct_imsi	local_excel_amount	local_aux_amount	local_price_sum	observed_start_month	observed_cycle_start_month	observed_cycle_end_month	key_columns	all_columns	local_embedded_filename_amount	local_parent_folder_amount	note
FILE_SHEET	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025年11月\WingAlpha-2025年11月付；USD1,139,393.53\006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	.xlsx	Invoice Summary	summary_or_auxiliary	Invoice Summary || Invoice Details - SEP 2025													1139393.530000000028	no source header detected
FILE_SHEET	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026年5月\WingAlpha-2026年5月付；USD374,480.38\01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	.xlsx	Prorated-In MAR - Pending Charg	prorated	Charges Summary || Detail Charges || Prorated-In MAR - Pending Charg	284	284	9827.387096774204	2191.067096774194	15442	2026-03			imsi=imsi;amount=final charge for usage days;price=monthly rate;start=final start date;end=final end date	imsi;product name;cycle start date;cycle end date;data allowance (gb);new activation date;final start date;final end date;# of active days;monthly rate;original charge in mar invoice;cycle usage (gb);usage days;final charge for usage days;pending charge		374480.380000000005	read-only local workbook metrics
FILE_SHEET	01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	2026年6月\WingAlpha-2026年6月付；USD389,842.49\01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	.xlsx	Charges Summary	summary_or_auxiliary	Charges Summary || Detail Charges || Prorated-In APR - Pending Charg													389842.489999999991	no source header detected
FILE_SHEET	01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	2026年6月\WingAlpha-2026年6月付；USD389,842.49\01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	.xlsx	Detail Charges	detail	Charges Summary || Detail Charges || Prorated-In APR - Pending Charg	7887	7494	389800.952688174613	0	407115	2026-04,2026-05			imsi=imsi;amount=final charge;price=monthly rate;start=final start date;end=final end date	imsi;product name;cycle start date;cycle end date;cycle usage (gb);data allowance (gb);% used;new activation date;offstock date;charge type;status;new card imsi (replacement);old card imsi (replaced);final start date;final end date;# of active days;usage days;final # of days for proration;monthly rate;final charge		389842.489999999991	read-only local workbook metrics
FILE_SHEET	01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	2026年6月\WingAlpha-2026年6月付；USD389,842.49\01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	.xlsx	Prorated-In APR - Pending Charg	prorated	Charges Summary || Detail Charges || Prorated-In APR - Pending Charg	9	9	298.766666666667	41.526666666667	482	2026-04			imsi=imsi;amount=final charge for usage days;price=monthly rate;start=final start date;end=final end date	imsi;product name;cycle start date;cycle end date;data allowance (gb);new activation date;final start date;final end date;# of active days;monthly rate;original charge in apr invoice;cycle usage (gb);usage days;final charge for usage days;pending charge		389842.489999999991	read-only local workbook metrics
FILE_SHEET	01-SIMO Data Purchase Invoice Details - JUNE 2026.xlsx	2026年7月\WingAlpha-2026年7月付；USD382,329.72\01-SIMO Data Purchase Invoice Details - JUNE 2026.xlsx	.xlsx	Charges Summary	summary_or_auxiliary	Charges Summary || Detail Charges													382329.719999999972	no source header detected
FILE_SHEET	01-SIMO Data Purchase Invoice Details - JUNE 2026.xlsx	2026年7月\WingAlpha-2026年7月付；USD382,329.72\01-SIMO Data Purchase Invoice Details - JUNE 2026.xlsx	.xlsx	Detail Charges	detail	Charges Summary || Detail Charges	7598	7469	382329.720430107787	0	388076	2026-06			imsi=imsi;amount=final charge;price=monthly rate;start=final start date;end=final end date	imsi;product name;cycle start date;cycle end date;cycle usage (gb);data allowance (gb);% used;new activation date;offstock date;charge type;status;new card imsi (replacement);old card imsi (replaced);final start date;final end date;# of active days;usage days;final # of days for proration;monthly rate;final charge		382329.719999999972	read-only local workbook metrics
FILE_SHEET	01-SIMO Data Purchase Invoice Details - JULY 2026.xlsx	2026年8月\WingAlpha-2026年8月付；USD373,928.34\01-SIMO Data Purchase Invoice Details - JULY 2026.xlsx	.xlsx	Charges Summary	summary_or_auxiliary	Charges Summary || Detail Charges || Prorated-In JUN - Pending Charg													373928.340000000026	no source header detected
FILE_SHEET	01-SIMO Data Purchase Invoice Details - JULY 2026.xlsx	2026年8月\WingAlpha-2026年8月付；USD373,928.34\01-SIMO Data Purchase Invoice Details - JULY 2026.xlsx	.xlsx	Detail Charges	detail	Charges Summary || Detail Charges || Prorated-In JUN - Pending Charg	7537	7472	373918.313978496881	0	375953	2026-07			imsi=imsi;amount=final charge;price=monthly rate;start=final start date;end=final end date	imsi;product name;cycle start date;cycle end date;cycle usage (gb);data allowance (gb);% used;new activation date;offstock date;charge type;status;new card imsi (replacement);old card imsi (replaced);final start date;final end date;# of active days;usage days;final # of days for proration;monthly rate;final charge		373928.340000000026	read-only local workbook metrics
FILE_SHEET	01-SIMO Data Purchase Invoice Details - JULY 2026.xlsx	2026年8月\WingAlpha-2026年8月付；USD373,928.34\01-SIMO Data Purchase Invoice Details - JULY 2026.xlsx	.xlsx	Prorated-In JUN - Pending Charg	prorated	Charges Summary || Detail Charges || Prorated-In JUN - Pending Charg	4	4	141.9	10.02	172	2026-06			imsi=imsi;amount=final charge for usage days;price=monthly rate;start=final start date;end=final end date	imsi;product name;cycle start date;cycle end date;data allowance (gb);new activation date;final start date;final end date;# of active days;monthly rate;original charge in jun invoice;cycle usage (gb);usage days;final charge for usage days;pending charge		373928.340000000026	read-only local workbook metrics
FILE_SHEET	SIMO Data Purchase Invoice Details - AUGUST 2026.xlsx	2026年9月\WingAlpha-2026年9月付；USD\SIMO Data Purchase Invoice Details - AUGUST 2026.xlsx	.xlsx	Charges Summary	summary_or_auxiliary	Charges Summary || Detail Charges || Prorated-In JUL - Pending Charg														no source header detected
FILE_SHEET	SIMO Data Purchase Invoice Details - AUGUST 2026.xlsx	2026年9月\WingAlpha-2026年9月付；USD\SIMO Data Purchase Invoice Details - AUGUST 2026.xlsx	.xlsx	Detail Charges	detail	Charges Summary || Detail Charges || Prorated-In JUL - Pending Charg	7536	7508	364846.612903225527	0	375967	2026-08			imsi=imsi;amount=final charge;price=monthly rate;start=final start date;end=final end date	imsi;product name;cycle start date;cycle end date;cycle usage (gb);data allowance (gb);% used;new activation date;offstock date;charge type;status;new card imsi (replacement);old card imsi (replaced);final start date;final end date;# of active days;usage days;final # of days for proration;monthly rate;final charge			read-only local workbook metrics
FILE_SHEET	SIMO Data Purchase Invoice Details - AUGUST 2026.xlsx	2026年9月\WingAlpha-2026年9月付；USD\SIMO Data Purchase Invoice Details - AUGUST 2026.xlsx	.xlsx	Prorated-In JUL - Pending Charg	prorated	Charges Summary || Detail Charges || Prorated-In JUL - Pending Charg	3	3	127.612903225806	4.162903226	129	2026-07			imsi=imsi;amount=final charge for usage days;price=monthly rate;start=final start date;end=final end date	imsi;product name;cycle start date;cycle end date;data allowance (gb);new activation date;final start date;final end date;# of active days;monthly rate;original charge in jul invoice;cycle usage (gb);usage days;final charge for usage days;pending charge			read-only local workbook metrics
