table_catalog	table_schema	table_name	ordinal_position	column_name	data_type	is_nullable	comment	column_count
simo_prod	ods	resource_res_vsim_product	66	over_type	INT	YES	超套餐使用类型,有套餐情况下才会有,默认 0: 0停止使用 1正常使用 2限速使用 用	70
simo_prod	ods	resource_res_vsim_product	67	product_category	STRING	YES	卡产品归属id,对应sc B2B客户的顶级账户id。例如 24:wing、1296:maya、1295:TS	70
simo_prod	ods	resource_res_vsim_product	68	plmns_from_imsi	STRING	YES	从imsi中获取的plmn	70
simo_prod	ods	resource_res_vsim_product	69	into_db_time	STRING	YES	数据更新进入databricks的时间	70
simo_prod	ods	resource_res_vsim_status_log	0	ID	LONG	YES	唯一id	11
simo_prod	ods	resource_res_vsim_status_log	1	PRE_STATUS	STRING	YES	操作前的卡状态	11
simo_prod	ods	resource_res_vsim_status_log	2	NEXT_STATUS	STRING	YES	操作之后卡的状态	11
simo_prod	ods	resource_res_vsim_status_log	3	DESC_LOG	STRING	YES	具体操作的描述	11
simo_prod	ods	resource_res_vsim_status_log	4	CREATE_DATE	TIMESTAMP	YES	操作时间	11
simo_prod	ods	resource_res_vsim_status_log	5	OPERATE_USER	STRING	YES	操作人员	11
simo_prod	ods	resource_res_vsim_status_log	6	DESCRIPTION	STRING	YES	具体操作的描述	11
simo_prod	ods	resource_res_vsim_status_log	7	IMSI	STRING	YES	imsi卡号	11
simo_prod	ods	resource_res_vsim_status_log	8	sync_time	TIMESTAMP	YES	同步到databricks的时间	11
simo_prod	ods	resource_res_vsim_status_log	9	EXT1	STRING	YES	扩展字段1	11
simo_prod	ods	resource_res_vsim_status_log	10	partition_date	STRING	YES	分区字段,取值于CREATE_DATE 的日期	11
simo_prod	tc_cdr	sim_status_for_sftp_bak	0	imsi	STRING	YES	vsim 卡号
	14
simo_prod	tc_cdr	sim_status_for_sftp_bak	1	product_id	STRING	YES	产品ID，一一对应亚信产品	14
simo_prod	tc_cdr	sim_status_for_sftp_bak	2	ICCID	STRING	YES	iccid	14
