result_type	grain	source_table	source_file	official_excel_billing_month	observed_start_month	charge_type	numeric_match_status	formal_match_status	formal_match_status	row_count	distinct_imsi_count	excel_amount	platform_calculated_amount_known	platform_total	amount_diff	days_exact_count	price_exact_count	amount_exact_count	numeric_match_row_count	formal_match_row_count	unknown_platform_amount_row_count	unresolved_or_unproven_excel_amount	difference_reason
ROW_STATUS	invoice_row	simo_prod.mysql_cdc_sync.wa_invoice_detail	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025-09	2025-09	Prorated-out Charge (Activated SEPT)	AMBIGUOUS_PLATFORM_CANDIDATE	UNRESOLVED	UNRESOLVED	66	66	1328.866667800000			0.00001020000	66	66	66			66	1328.866667800000	row grain; selected candidate amount retained separately from known amount
ROW_STATUS	invoice_row	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v1)		Credit for Offstocked Card	NO_PLATFORM	WA_ONLY	WA_ONLY	37	37	-465.000000000000				0	0	0			37	-465.000000000000	row grain; selected candidate amount retained separately from known amount
ROW_STATUS	invoice_row	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v1)	2025-10	Full Cycle Charge	AMBIGUOUS_PLATFORM_CANDIDATE	UNRESOLVED	UNRESOLVED	12573	12573	769456.000000000000			-21356.00000000000	9847	11449	11449			12573	769456.000000000000	row grain; selected candidate amount retained separately from known amount
ROW_STATUS	invoice_row	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v1)	2025-10	New Activation: Prorated-in Charge	MATCHED	MATCHED	MATCHED	66	66	2276.000000000000	2276.000000000000		0E-11	66	66	66			0	0E-12	row grain; selected candidate amount retained separately from known amount
ROW_STATUS	invoice_row	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v1)	2025-10	New Activation: Prorated-in Charge	NUMERIC_MISMATCH	UNRESOLVED	UNRESOLVED	6	6	88.533333333334	74.000000000000		-14.53333333334	2	6	0			0	88.533333333334	row grain; selected candidate amount retained separately from known amount
ROW_STATUS	invoice_row	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v1)	2025-10	Prorated-out Charge (Activated OCT)	AMBIGUOUS_PLATFORM_CANDIDATE	UNRESOLVED	UNRESOLVED	32	32	930.000000000000			-4.29032300000	32	31	31			32	930.000000000000	row grain; selected candidate amount retained separately from known amount
ROW_STATUS	invoice_row	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v2)	2025-11	Full Cycle Charge	AMBIGUOUS_PLATFORM_CANDIDATE	UNRESOLVED	UNRESOLVED	11681	11681	713981.000000000000			-23484.00000000000	11678	10445	10445			11681	713981.000000000000	row grain; selected candidate amount retained separately from known amount
ROW_STATUS	invoice_row	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v2)	2025-11	Full Cycle Charge	MATCHED	MATCHED	MATCHED	226	226	14012.000000000000	14012.000000000000		0E-11	226	226	226			0	0E-12	row grain; selected candidate amount retained separately from known amount
ROW_STATUS	invoice_row	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v2)	2025-11	Full Cycle Charge	NUMERIC_MISMATCH	UNRESOLVED	UNRESOLVED	734	734	45299.000000000000	40796.000000000000		-4503.00000000000	216	497	497			0	45299.000000000000	row grain; selected candidate amount retained separately from known amount
ROW_STATUS	invoice_row	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v2)	2025-11	New Activation: Prorated-in Charge	AMBIGUOUS_PLATFORM_CANDIDATE	UNRESOLVED	UNRESOLVED	1	1	10.000000000000			-2.83333300000	1	0	0			1	10.000000000000	row grain; selected candidate amount retained separately from known amount
ROW_STATUS	invoice_row	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v2)	2025-11	New Activation: Prorated-in Charge	NUMERIC_MISMATCH	UNRESOLVED	UNRESOLVED	21	21	435.838709677419	207.833327000000		-228.00538267742	5	20	0			0	435.838709677419	row grain; selected candidate amount retained separately from known amount
