local_excel_file	local_relative_path	local_sheet_name	platform_source_table	platform_source_file	invoice_batch_label	observed_start_month	observed_cycle_start_month	observed_cycle_end_month	local_sheet_kind	local_sheet_data_row_count	platform_record_count	row_count_diff	local_imsi_count	platform_imsi_count	imsi_count_diff	local_amount	platform_amount	amount_diff	amount_semantics	local_amount_field	local_date_summary_json	file_name_amount	file_name_amount_diff	file_name_amount_status	folder_amount	folder_amount_diff	folder_amount_status	file_name_match_type	content_match_status	split_merge_status
01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	2026年6月\WingAlpha-2026年6月付；USD389,842.49\01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	Detail Charges	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	2026-05	2026-04			detail	7887	7887	0	7494	7494	0	389800.952688175	389800.95268817176	3.259629011154175e-09	final_charge	Final Charge	"{""Cycle End Date"":{""count"":7887,""min"":""2026-05-18"",""max"":""2026-06-29""},""Cycle Start Date"":{""count"":7887,""min"":""2026-04-19"",""max"":""2026-05-31""},""Final End Date"":{""count"":7887,""min"":""2026-05-01"",""max"":""2026-06-29""},""Final Start Date"":{""count"":7887,""min"":""2026-04-24"",""max"":""2026-05-31""},""New Activation Date"":{""count"":995,""min"":""2026-05-01"",""max"":""2026-05-29""},""Offstock Date"":{""count"":34,""min"":""2026-05-01"",""max"":""2026-05-31""}}"			NO_FILENAME_AMOUNT	389842.49	41.537311828229576	PARENT_FOLDER_AMOUNT_MISMATCH_NO_ADJUSTMENT	RAW_EXACT	LOCAL_AND_PLATFORM_STATS_MATCH	ONE_LOCAL_WORKBOOK_MATCHES_PLATFORM_SOURCE_FILE
SIMO Data Purchase Invoice Details - AUGUST 2026.xlsx	2026年9月\WingAlpha-2026年9月付；USD\SIMO Data Purchase Invoice Details - AUGUST 2026.xlsx	Detail Charges	simo_prod.mysql_cdc_sync.wa_invoice_detail	SIMO Data Purchase Invoice Details - AUGUST 2026.xlsx	2026-08	2026-08			detail	7536	7536	0	7508	7508	0	364846.612903226	364846.6129032258	1.7462298274040222e-10	final_charge	Final Charge	"{""Cycle End Date"":{""count"":7536,""min"":""2026-08-26"",""max"":""2026-09-29""},""Cycle Start Date"":{""count"":7536,""min"":""2026-07-27"",""max"":""2026-08-31""},""Final End Date"":{""count"":7536,""min"":""2026-08-25"",""max"":""2026-09-29""},""Final Start Date"":{""count"":7536,""min"":""2026-08-01"",""max"":""2026-08-31""},""New Activation Date"":{""count"":81,""min"":""2026-08-01"",""max"":""2026-08-31""},""Offstock Date"":{""count"":318,""min"":""2026-08-25"",""max"":""2026-08-31""}}"			NO_FILENAME_AMOUNT			NO_PARENT_FOLDER_AMOUNT	RAW_EXACT	LOCAL_AND_PLATFORM_STATS_MATCH	ONE_LOCAL_WORKBOOK_MATCHES_PLATFORM_SOURCE_FILE
SIMO Data Purchase Invoice Details - DEC 2025.xlsx	2026年1月\WingAlpha-2026年1月付；USD704,839.35\SIMO Data Purchase Invoice Details - DEC 2025.xlsx	Detail Charges	simo_prod.mysql_cdc_sync.wa_invoice_detail	SIMO Data Purchase Invoice Details - DEC 2025.xlsx	2025-12	2025-12			detail	12185	12185	0	12110	12110	0	704839.353763434	704839.3537634417	-7.683411240577698e-09	final_charge	Final Charge	"{""Cycle End Date"":{""count"":12185,""min"":""2025-12-23"",""max"":""2026-01-29""},""Cycle Start Date"":{""count"":12185,""min"":""2025-11-24"",""max"":""2025-12-30""},""Final End Date"":{""count"":12185,""min"":""2025-12-23"",""max"":""2026-01-29""},""Final Start Date"":{""count"":12185,""min"":""2025-12-01"",""max"":""2025-12-31""},""New Activation Date"":{""count"":750,""min"":""2025-12-22"",""max"":""2025-12-31""},""Offstock Date"":{""count"":9,""min"":""2025-12-31"",""max"":""2025-12-31""}}"			NO_FILENAME_AMOUNT	704839.35	-0.0037634416949003935	PARENT_FOLDER_AMOUNT_MATCH	NFKC_NORMALIZED	LOCAL_AND_PLATFORM_STATS_MATCH	ONE_LOCAL_WORKBOOK_MATCHES_PLATFORM_SOURCE_FILE
01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	Prorated-In OCT - Pending Charg	simo_prod.mysql_cdc_sync.wa_invoice_prorated	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v2)	2025-10			prorated	5	5	0	5	5	0	294.0	294.0	0.0	final_charge_for_usage_days	Final Charge For Usage Days	"{""Cycle End Date"":{""count"":5,""min"":""2025-11-15"",""max"":""2025-11-15""},""Cycle Start Date"":{""count"":5,""min"":""2025-10-16"",""max"":""2025-10-16""},""Final End Date"":{""count"":5,""min"":""2025-11-15"",""max"":""2025-11-15""},""Final Start Date"":{""count"":5,""min"":""2025-10-24"",""max"":""2025-10-24""},""New Activation Date"":{""count"":5,""min"":""2025-10-24"",""max"":""2025-10-24""}}"	773793.84	773499.84	FILENAME_AMOUNT_MISMATCH_NO_ADJUSTMENT	773380.39	773086.39	PARENT_FOLDER_AMOUNT_MISMATCH_NO_ADJUSTMENT	RAW_EXACT	LOCAL_AND_PLATFORM_STATS_MATCH	ONE_LOCAL_WORKBOOK_MATCHES_PLATFORM_SOURCE_FILE
01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年11月\WingAlpha-2025年11月付；USD772,765.00\01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	Prorated-In SEP - Pending Charg	simo_prod.mysql_cdc_sync.wa_invoice_prorated	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v1)	2025-09			prorated	36	36	0	36	36	0	1521.066666667	1521.0666666666666	3.333298081997782e-10	final_charge_for_usage_days	Final Charge For Usage Days	"{""cycle_end_time"":{""count"":36,""min"":""2025-10-03"",""max"":""2025-10-03""},""cycle_time"":{""count"":36,""min"":""2025-09-03"",""max"":""2025-09-03""}}"	772765.0	771243.9333333333	FILENAME_AMOUNT_MISMATCH_NO_ADJUSTMENT	772765.0	771243.9333333333	PARENT_FOLDER_AMOUNT_MISMATCH_NO_ADJUSTMENT	RAW_EXACT	LOCAL_AND_PLATFORM_STATS_MATCH	ONE_LOCAL_WORKBOOK_MATCHES_PLATFORM_SOURCE_FILE
01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026年5月\WingAlpha-2026年5月付；USD374,480.38\01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	Prorated-In MAR - Pending Charg	simo_prod.mysql_cdc_sync.wa_invoice_prorated	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	2026-03			prorated	284	284	0	284	284	0	9827.387096774	9827.387096774199	-1.9826984498649836e-10	final_charge_for_usage_days	Final Charge For Usage Days	"{""Cycle End Date"":{""count"":284,""min"":""2026-04-01"",""max"":""2026-04-25""},""Cycle Start Date"":{""count"":284,""min"":""2026-03-02"",""max"":""2026-03-26""},""Final End Date"":{""count"":284,""min"":""2026-04-01"",""max"":""2026-04-25""},""Final Start Date"":{""count"":284,""min"":""2026-03-23"",""max"":""2026-03-28""},""New Activation Date"":{""count"":284,""min"":""2026-03-23"",""max"":""2026-03-28""}}"			NO_FILENAME_AMOUNT	374480.38	364652.9929032258	PARENT_FOLDER_AMOUNT_MISMATCH_NO_ADJUSTMENT	RAW_EXACT	LOCAL_AND_PLATFORM_STATS_MATCH	ONE_LOCAL_WORKBOOK_MATCHES_PLATFORM_SOURCE_FILE
01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026年3月\WingAlpha-2026年3月付；USD693,915.21\01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	Prorated-In JAN - Pending Charg	simo_prod.mysql_cdc_sync.wa_invoice_prorated	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026-02	2026-01			prorated	359	359	0	359	359	0	14688.096774194	14688.096774193551	4.4929038267582655e-10	final_charge_for_usage_days	Final Charge For Usage Days	"{""Cycle End Date"":{""count"":359,""min"":""2026-02-03"",""max"":""2026-02-24""},""Cycle Start Date"":{""count"":359,""min"":""2026-01-04"",""max"":""2026-01-25""},""Final End Date"":{""count"":359,""min"":""2026-02-03"",""max"":""2026-02-24""},""Final Start Date"":{""count"":359,""min"":""2026-01-23"",""max"":""2026-01-31""},""New Activation Date"":{""count"":359,""min"":""2026-01-23"",""max"":""2026-01-31""}}"			NO_FILENAME_AMOUNT	693915.21	679227.1132258064	PARENT_FOLDER_AMOUNT_MISMATCH_NO_ADJUSTMENT	RAW_EXACT	LOCAL_AND_PLATFORM_STATS_MATCH	ONE_LOCAL_WORKBOOK_MATCHES_PLATFORM_SOURCE_FILE
01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	2026年2月\WingAlpha-2026年2月付；USD703,612.29\01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	Prorated-In DEC - Pending Charg	simo_prod.mysql_cdc_sync.wa_invoice_prorated	01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	2025-01	2025-12			prorated	1	1	0	1	1	0	34.0	34.0	0.0	final_charge_for_usage_days	Final Charge For Usage Days	"{""Cycle End Date"":{""count"":1,""min"":""2026-01-13"",""max"":""2026-01-13""},""Cycle Start Date"":{""count"":1,""min"":""2025-12-14"",""max"":""2025-12-14""},""Final End Date"":{""count"":1,""min"":""2026-01-13"",""max"":""2026-01-13""},""Final Start Date"":{""count"":1,""min"":""2025-12-31"",""max"":""2025-12-31""},""New Activation Date"":{""count"":1,""min"":""2025-12-31"",""max"":""2025-12-31""}}"			NO_FILENAME_AMOUNT	703612.29	703578.29	PARENT_FOLDER_AMOUNT_MISMATCH_NO_ADJUSTMENT	RAW_EXACT	LOCAL_AND_PLATFORM_STATS_MATCH	ONE_LOCAL_WORKBOOK_MATCHES_PLATFORM_SOURCE_FILE
01-SIMO Data Purchase Invoice Details - JULY 2026.xlsx	2026年8月\WingAlpha-2026年8月付；USD373,928.34\01-SIMO Data Purchase Invoice Details - JULY 2026.xlsx	Prorated-In JUN - Pending Charg	simo_prod.mysql_cdc_sync.wa_invoice_prorated	01-SIMO Data Purchase Invoice Details - JULY 2026.xlsx	2026-07	2026-06			prorated	4	4	0	4	4	0	141.9	141.9	0.0	final_charge_for_usage_days	Final Charge For Usage Days	"{""Cycle End Date"":{""count"":4,""min"":""2026-07-14"",""max"":""2026-07-25""},""Cycle Start Date"":{""count"":4,""min"":""2026-06-15"",""max"":""2026-06-26""},""Final End Date"":{""count"":4,""min"":""2026-07-14"",""max"":""2026-07-25""},""Final Start Date"":{""count"":4,""min"":""2026-06-25"",""max"":""2026-06-30""},""New Activation Date"":{""count"":4,""min"":""2026-06-25"",""max"":""2026-06-30""}}"			NO_FILENAME_AMOUNT	373928.34	373786.44	PARENT_FOLDER_AMOUNT_MISMATCH_NO_ADJUSTMENT	RAW_EXACT	LOCAL_AND_PLATFORM_STATS_MATCH	ONE_LOCAL_WORKBOOK_MATCHES_PLATFORM_SOURCE_FILE
01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026年4月\WingAlpha-2026年4月付；USD579,471.47\01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	Prorated-In FEB - Pending Charg	simo_prod.mysql_cdc_sync.wa_invoice_prorated	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026-03	2026-02			prorated	127	127	0	127	127	0	3686.928571429	3686.9285714285716	4.283720045350492e-10	final_charge_for_usage_days	Final Charge For Usage Days	"{""Cycle End Date"":{""count"":127,""min"":""2026-03-01"",""max"":""2026-03-21""},""Cycle Start Date"":{""count"":127,""min"":""2026-02-02"",""max"":""2026-02-22""},""Final End Date"":{""count"":127,""min"":""2026-03-01"",""max"":""2026-03-21""},""Final Start Date"":{""count"":127,""min"":""2026-02-10"",""max"":""2026-02-26""},""New Activation Date"":{""count"":127,""min"":""2026-02-10"",""max"":""2026-02-26""}}"			NO_FILENAME_AMOUNT	579471.47	575784.5414285715	PARENT_FOLDER_AMOUNT_MISMATCH_NO_ADJUSTMENT	RAW_EXACT	LOCAL_AND_PLATFORM_STATS_MATCH	ONE_LOCAL_WORKBOOK_MATCHES_PLATFORM_SOURCE_FILE
