local_excel_file	local_relative_path	sheet_name	field_name	field_kind	non_null_count	sum_value	min_value	max_value
01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	2026年2月\WingAlpha-2026年2月付；USD703,612.29\01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	Prorated-In DEC - Pending Charg	Original Charge in DEC Invoice	amount	1	28.0	28.0	28.0
01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	2026年2月\WingAlpha-2026年2月付；USD703,612.29\01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	Prorated-In DEC - Pending Charg	Pending Charge	amount	1	6.0	6.0	6.0
01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	2026年2月\WingAlpha-2026年2月付；USD703,612.29\01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	Prorated-In DEC - Pending Charg	Cycle End Date	date	1		2026-01-13	2026-01-13
01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	2026年2月\WingAlpha-2026年2月付；USD703,612.29\01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	Prorated-In DEC - Pending Charg	Cycle Start Date	date	1		2025-12-14	2025-12-14
01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	2026年2月\WingAlpha-2026年2月付；USD703,612.29\01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	Prorated-In DEC - Pending Charg	Final End Date	date	1		2026-01-13	2026-01-13
01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	2026年2月\WingAlpha-2026年2月付；USD703,612.29\01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	Prorated-In DEC - Pending Charg	Final Start Date	date	1		2025-12-31	2025-12-31
01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	2026年2月\WingAlpha-2026年2月付；USD703,612.29\01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	Prorated-In DEC - Pending Charg	New Activation Date	date	1		2025-12-31	2025-12-31
01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026年3月\WingAlpha-2026年3月付；USD693,915.21\01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	Detail Charges	Final Charge	amount	12481	690572.723502303	1.3870967741935483	64.0
01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026年3月\WingAlpha-2026年3月付；USD693,915.21\01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	Detail Charges	Monthly Rate	amount	12572	712418.0	21.0	62.0
01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026年3月\WingAlpha-2026年3月付；USD693,915.21\01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	Detail Charges	Cycle End Date	date	12572		2026-02-06	2026-03-29
01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026年3月\WingAlpha-2026年3月付；USD693,915.21\01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	Detail Charges	Cycle Start Date	date	12572		2026-01-07	2026-02-28
